fornamn,efternamn,parti,valkrets,riksdagsstatus,fodelsear,kon,hemort,person_url_xml,bild_url_80
Lars,Isacsson,S,Dalarnas län,Tjänstgörande riksdagsledamot,1970,man,,https://data.riksdagen.se/person/2db22586-e7ae-4d0a-ac59-6a3a99b8e364,https://data.riksdagen.se/filarkiv/bilder/ledamot/2db22586-e7ae-4d0a-ac59-6a3a99b8e364_80.jpg
Louise,Thunström,S,Västra Götalands läns norra,Tjänstgörande riksdagsledamot,1973,kvinna,,https://data.riksdagen.se/person/ee34af33-039e-4eaa-b7dc-819721bb8ce9,https://data.riksdagen.se/filarkiv/bilder/ledamot/ee34af33-039e-4eaa-b7dc-819721bb8ce9_80.jpg
Adam,Marttinen,SD,Södermanlands län,Tjänstgörande riksdagsledamot,1983,man,,https://data.riksdagen.se/person/db2ca6ff-5620-4ece-8d31-97777f2efb48,https://data.riksdagen.se/filarkiv/bilder/ledamot/db2ca6ff-5620-4ece-8d31-97777f2efb48_80.jpg
Petter,Löberg,S,Västra Götalands läns södra,Tjänstgörande riksdagsledamot,1968,man,,https://data.riksdagen.se/person/7826c819-d0da-4e4a-a16b-ffa3d8e9b155,https://data.riksdagen.se/filarkiv/bilder/ledamot/7826c819-d0da-4e4a-a16b-ffa3d8e9b155_80.jpg
Mikael,Damsgaard,M,Västmanlands län,Tjänstgörande riksdagsledamot,1976,man,,https://data.riksdagen.se/person/cd568a26-75c0-401e-a4de-d43589a8dc21,https://data.riksdagen.se/filarkiv/bilder/ledamot/cd568a26-75c0-401e-a4de-d43589a8dc21_80.jpg
Anna,Wallentheim,S,Skåne läns norra och östra,Tjänstgörande riksdagsledamot,1985,kvinna,,https://data.riksdagen.se/person/200035cd-228a-4afa-8849-844f2c1e35fb,https://data.riksdagen.se/filarkiv/bilder/ledamot/200035cd-228a-4afa-8849-844f2c1e35fb_80.jpg
Mattias,Vepsä,S,Stockholms kommun,Tjänstgörande riksdagsledamot,1980,man,,https://data.riksdagen.se/person/b20fb0ab-e161-4d7a-acc9-57c3923d5456,https://data.riksdagen.se/filarkiv/bilder/ledamot/b20fb0ab-e161-4d7a-acc9-57c3923d5456_80.jpg
Sanna,Backeskog,S,Gävleborgs län,Tjänstgörande riksdagsledamot,1985,kvinna,,https://data.riksdagen.se/person/c201c018-27e1-4f3f-88b1-4ab748edf883,https://data.riksdagen.se/filarkiv/bilder/ledamot/c201c018-27e1-4f3f-88b1-4ab748edf883_80.jpg
Markus,Wiechel,SD,Västra Götalands läns norra,Tjänstgörande riksdagsledamot,1988,man,,https://data.riksdagen.se/person/8a9f3c8c-8ce8-4a17-9e57-0109af47efcc,https://data.riksdagen.se/filarkiv/bilder/ledamot/8a9f3c8c-8ce8-4a17-9e57-0109af47efcc_80.jpg
Mattias,Jonsson,S,Göteborgs kommun,Tjänstgörande riksdagsledamot,1974,man,,https://data.riksdagen.se/person/9ae916dd-799d-4d2b-80c4-f00bc5a7344d,https://data.riksdagen.se/filarkiv/bilder/ledamot/9ae916dd-799d-4d2b-80c4-f00bc5a7344d_80.jpg
