riksmote,arende,arende_punkt,ledamot_namn,parti,valkrets,rost,avser,voteringstyp,registrerat,dok_id
2025/26,AU10,3,Staffan Eklöf,SD,Jönköpings län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Eric Westroth,SD,Jönköpings län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Louise Eklund,L,Malmö kommun,Frånvarande,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Nima Gholam Ali Pour,SD,Malmö kommun,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Morgan Johansson,S,Skåne läns södra,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Boriana Åberg,M,Skåne läns södra,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Larry Söder,KD,Hallands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Lars Püss,M,Hallands län,Frånvarande,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,David Josefsson,M,Göteborgs kommun,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Leila Ali Elmi,MP,Göteborgs kommun,Nej,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Matheus Enholm,SD,Västra Götalands läns norra,Frånvarande,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Louise Thunström,S,Västra Götalands läns norra,Frånvarande,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Charlotte Nordström,M,Västra Götalands läns östra,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Lars Mejern Larsson,S,Värmlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Ulrika Liljeberg,C,Dalarnas län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Lars Isacsson,S,Dalarnas län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Daniel Persson,SD,Gävleborgs län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Samuel Gonzalez Westling,V,Gävleborgs län,Avstår,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Eric Palmqvist,SD,Norrbottens län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Mattias Karlsson,M,Norrbottens län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Martin Ådahl,C,Stockholms kommun,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Lorena Delgado Varas,-,Stockholms kommun,Avstår,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Annika Strandhäll,S,Stockholms kommun,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Serkan Köse,S,Stockholms län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Mathias Tegnér,S,Stockholms län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Annika Hirvonen,MP,Stockholms län,Nej,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Fredrik Ahlstedt,M,Uppsala län,Frånvarande,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Ardalan Shekarabi,S,Uppsala län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Magnus Oscarsson,KD,Östergötlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Mattias Ottosson,S,Östergötlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Ciczie Weidby,V,Jönköpings län,Avstår,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Jakob Olofsgård,L,Jönköpings län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Richard Jomshof,SD,Blekinge län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Magnus Manhammar,S,Blekinge län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Mats Persson,L,Skåne läns södra,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Marianne Fundahn,S,Skåne läns södra,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Sara-Lena Bjälkö,-,Hallands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Helena Storckenfeldt,M,Hallands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Tony Haddou,V,Göteborgs kommun,Avstår,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Emma Nohrén,MP,Göteborgs kommun,Nej,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Jan Ericson,M,Västra Götalands läns södra,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Petter Löberg,S,Västra Götalands läns södra,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Blåvitt Elofsson,S,Värmlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Daniel Bäckström,C,Värmlands län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Anna-Lena Hedberg,SD,Dalarnas län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Mathias Bengtsson,KD,Dalarnas län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Sanna Backeskog,S,Gävleborgs län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Linnéa Wickman,S,Gävleborgs län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Johnny Svedin,SD,Norrbottens län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Zara Leghissa,S,Norrbottens län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Camilla Brodin,KD,Stockholms kommun,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Ida Gabrielsson,V,Stockholms kommun,Frånvarande,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Arin Karapet,M,Stockholms kommun,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Henrik Vinge,SD,Stockholms kommun,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
2025/26,AU10,3,Erik Ottoson,M,Stockholms län,Ja,sakfrågan,huvud,2026-03-04 16:36:21,HD01AU10
